id,source,category,prompt_text
1,HotpotQA,Multi-hop,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?
2,HotpotQA,Multi-hop,Black Book starred the actress and writer of what heritage?
3,HotpotQA,Multi-hop,Which actor does American Beauty and American Beauty have in common?
4,HotpotQA,Multi-hop,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?
5,HotpotQA,Multi-hop,"Between Greyia and Calibanus, which genus contains more species?"
6,HotpotQA,Multi-hop,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?
7,HotpotQA,Multi-hop,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?
8,HotpotQA,Multi-hop,which Mexican and American film actress is Ethel Houbiers  French voice of 
9,HotpotQA,Multi-hop,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?
10,HotpotQA,Multi-hop,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?
11,HotpotQA,Multi-hop,The facility where Robert Croft worked as a navy instructor was also known as?
12,HotpotQA,Multi-hop,"Who released the song ""With or Without You"" first, Jai McDowall or U2?"
13,HotpotQA,Multi-hop,"Which ""Roseanne"" star is in Scream 2?"
14,HotpotQA,Multi-hop,In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?
15,HotpotQA,Multi-hop,"What is the name of the Australian specialist electronic music magazine that features avant-rock, experimental sound art, and experimental hip hop?"
16,HotpotQA,Multi-hop,What is the population of the city that Munsonville is in the northwest corner of?
17,HotpotQA,Multi-hop,A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?
18,HotpotQA,Multi-hop,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?
19,HotpotQA,Multi-hop,What class of instrument does Apatim Majumdar play?
20,HotpotQA,Multi-hop," Which movie did Disney produce first,  The Many Adventures of Winnie the Pooh or Ride a Wild Pony?"
21,HotpotQA,Multi-hop,Pandikona and Berger Blanc Suisse are both what kinds of animals?
22,HotpotQA,Multi-hop,The Prussian General Carl von Clausewitz is associated with what type of realism?
23,HotpotQA,Multi-hop,What where both Hawker Hurricane and No. 1455 Flight apart of?
24,HotpotQA,Multi-hop,what language did the ethnic group which Torstein Ellingsen was its drumer  speaks 
25,HotpotQA,Multi-hop,"From March 631 to April 631, Farrukhzad Khosrau V was the king of an empire that succeeded which empire?"
26,HotpotQA,Multi-hop,"Beer Wars covers the differences between large corporate breweries, and small breweries, such as what brewery that is headquartered in Escondido, california?"
27,HotpotQA,Multi-hop,"Which head coach has led their team for a longer period of time, Tim Cluess or Steve Prohm?"
